run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_f16_32_64,Seq2Motif_tRNA,s2m_skip1_f16_32_64,"[16, 32, 64]",1,2,2,2048.0,44225,0.032710992164261966,0.04432332515716553,0.18894605504141915,0.9426099117022092,0.9584517100208592,0.6128872412972951,0.9523640268716448,0.9341056645075313,0.5795139653122829,0.0,0.0,0.0
s2m_skip0_f16_32_64,Seq2Motif_tRNA,s2m_skip0_f16_32_64,"[16, 32, 64]",0,2,2,2048.0,40385,0.03291747646163339,0.042512266586224236,0.17171914875507355,0.9449779053317303,0.9581577171396923,0.6724968201258124,0.9520897425598192,0.9369846670001533,0.6113255776729656,0.0,0.0,0.0
s2m_skip1_f16_32_32,Seq2Motif_tRNA,s2m_skip1_f16_32_32,"[16, 32, 32]",1,2,2,1024.0,28673,0.024676833058828892,0.037492142990231514,0.17355051967832777,0.9529163180228211,0.9690378348868767,0.6746460845696975,0.9647972827104008,0.9458435149517531,0.6142880186189189,0.0,0.0,0.0
s2m_skip0_f16_32_32,Seq2Motif_tRNA,s2m_skip0_f16_32_32,"[16, 32, 32]",0,2,2,1024.0,24833,0.05002802885744883,0.05948806181550026,0.16639983654022217,0.9195818850299587,0.9342471607305143,0.6276378750026069,0.9237188835573115,0.9063509405118643,0.5879211850872788,0.0,0.0,0.0
s2m_skip1_f16_16_64,Seq2Motif_tRNA,s2m_skip1_f16_16_64,"[16, 16, 64]",1,2,2,2048.0,27121,0.02981134941396506,0.0402287965019544,0.18683492143948874,0.950133813816722,0.9624099108866098,0.6489990861799995,0.9569294053891918,0.9426585566693856,0.6021162114593839,0.0,0.0,0.0
s2m_skip0_f16_16_64,Seq2Motif_tRNA,s2m_skip0_f16_16_64,"[16, 16, 64]",0,2,2,2048.0,25585,0.041886522718097854,0.05091687788565954,0.16669866939385733,0.9334982951758191,0.9462599184666255,0.6670241128684467,0.9379891969483029,0.9230093389324666,0.6065040388984412,0.0,0.0,0.0
s2m_skip1_f16_16_32,Seq2Motif_tRNA,s2m_skip1_f16_16_32,"[16, 16, 32]",1,2,2,1024.0,14641,0.03347932919859886,0.04817380880316099,0.17394496334923637,0.9393506105114132,0.9586133873352827,0.66079997337406,0.952558853744347,0.9298558925119519,0.6173176724338647,0.0,0.0,0.0
s2m_skip0_f16_16_32,Seq2Motif_tRNA,s2m_skip0_f16_16_32,"[16, 16, 32]",0,2,2,1024.0,13105,0.05089324048679808,0.060168683528900146,0.18388369348314074,0.9190215101224206,0.9335791470321666,0.6349359382848753,0.9239417688910265,0.9080286414443698,0.5787956098429756,0.0,0.0,0.0
s2m_skip1_f16_16_16,Seq2Motif_tRNA,s2m_skip1_f16_16_16,"[16, 16, 16]",1,2,2,512.0,10705,0.0411105783575255,0.047635067254304886,0.18163843287361991,0.9377917698403585,0.9469036124749756,0.655383341843566,0.9391255599501277,0.9281326791140573,0.6084139751595027,0.0,0.0,0.0
s2m_skip0_f16_16_16,Seq2Motif_tRNA,s2m_skip0_f16_16_16,"[16, 16, 16]",0,2,2,512.0,9169,0.04174169314944226,0.055821727961301804,0.1662013116810057,0.925576761509272,0.945931539639788,0.6842841546824854,0.9376430314851271,0.9138833795879172,0.6241440483809353,0.0,0.0,0.0
