"run_uuid","name","step","train_loss","train_Accuracy","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1"
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,1,0.10725676544985188,0.8643381625791139,0.8459639786788246,0.09752896352081883,0.8763950892857143,0.0,0.8632451722744714
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,2,0.09948970081936961,0.877491882581751,0.8649050496831248,0.0935488962093178,0.8870376275510204,0.0,0.8739297805544295
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,3,0.09672032167765662,0.8857473381460971,0.8737708703287606,0.09206342256190825,0.8896484375,0.0,0.8768970518262145
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,4,0.09549169652635538,0.8882814560258439,0.8765192668948697,0.0910342238387283,0.891731106505102,0.0,0.8791911594201164
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,5,0.09467806593212397,0.8891962107726793,0.8776955543657597,0.09036405475772157,0.8928671077806123,0.0,0.8806545794624985
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,6,0.09420211622609367,0.8898678550237342,0.8786101776854862,0.09022216301183311,0.8931162308673469,0.0,0.8815083832600848
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,7,0.0939327341579058,0.8900718206091772,0.8789599019932887,0.0901899611463352,0.8935247927295918,0.0,0.8820396916969087
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,8,0.09374001450868095,0.8904519382911392,0.8794798446271149,0.09011306157525704,0.8937340561224489,0.0,0.8816196572938111
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,9,0.0936059897789095,0.8905075652689873,0.8795998623990167,0.08966261939126619,0.8939034598214286,0.0,0.8820445411806045
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,10,0.09351666358138438,0.890295358649789,0.8793175302434013,0.0897337663538602,0.89404296875,0.0,0.8822322538175128
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,11,0.09350397448813864,0.8900615193169831,0.8790397937162788,0.0897533679190947,0.8933753188775511,0.0,0.8814620011531965
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,12,0.09342456028997144,0.8901109655195147,0.8791742630223168,0.08954221344723994,0.8940330038265306,0.0,0.8819891937109972
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,13,0.09336778034263522,0.8895464547072784,0.8785064207725389,0.08987972201133261,0.8922692123724489,0.0,0.8806697823987018
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,14,0.09332573394986647,0.8893960558412447,0.8783308110941258,0.08951595942584836,0.8930564413265306,0.0,0.8813612888427124
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,15,0.09330414562537197,0.8897782337816456,0.8788091844652004,0.08959808778397892,0.8927973533163265,0.0,0.8810560299996542
