"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_conv2","arc_skip_conn","hyp_lr","hyp_output_th","hyp_scheduler","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
"58960c048e9b49b2a789a0507525676b",UNet-num_convs-3-1-stride-2-1,15,"4","8","3","2","1","3","1",1,"0.001","0.5",none,15,0.11811346912811577,0.8453209470595991,0.0,0.8197473976440827,0.1148381522115396,0.8485929528061225,0.0,0.8188273238018199,0.12232494675393762,0.8396922144396551,0.0,0.8078576971650456
c36c615297234f429062c77d13b2d6c9,UNet-num_convs-3-1-stride-2-2,13,"4","8","3","2","2","3","1",1,"0.001","0.5",none,13,0.11903113805795018,0.8430639339398734,0.0,0.816620884812648,0.1136579810052502,0.8494897959183674,0.0,0.8221574087449189,0.11944272214996404,0.8435563712284483,0.0,0.8147323298671809
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,18,"4","8","3","1","1","3","2",1,"0.001","0.5",none,18,0.000951203159344,0.9999381922468354,0.9709915611814346,0.9999381624301753,0.0007711031405274,0.9996910873724489,0.8520408163265306,0.9996909072324728,0.0008314384768741,0.9994359509698276,0.7112068965517241,0.9994355031148452
a3d3c3c6d5704174ab649ced70eaa81a,UNet-num_convs-3-2-stride-1-2,19,"4","8","3","1","2","3","2",1,"0.001","0.5",none,19,0.000375466214726,0.9997795523470464,0.919831223628692,0.999779499939438,0.0004265243689439,0.9997508769132653,0.923469387755102,0.999750839724274,0.0005283124432779,0.9997221848060345,0.9181034482758621,0.999722136230479
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,17,"4","8","3","2","1","3","2",1,"0.001","0.5",none,17,0.11826687065672271,0.8430155178665611,0.0,0.8176056411264838,0.11408479025169295,0.8478256536989796,0.0,0.8185958058032099,0.12104756834691968,0.8397174703663793,0.0,0.8089811116933561
"657e089142df4df1a88b59da9eb48c77",UNet-num_convs-3-2-stride-2-2,14,"4","8","3","2","2","3","2",1,"0.001","0.5",none,14,0.12002147173013868,0.8412890212948312,0.0,0.8139076064681272,0.11499375363393706,0.8474170918367347,0.0,0.8184218721895491,0.12203861439022524,0.8387493265086207,0.0,0.8088480482407898
df806df93a2347778830aaf7f235630f,UNet-num_convs-3-3-stride-1-1,17,"4","8","3","1","1","3","3",1,"0.001","0.5",none,17,0.0016587455002964329,0.9986824647283755,0.5390295358649789,0.9986817798080625,0.0011242543993403716,0.9990234375,0.6530612244897959,0.9990229143406008,0.001056546443704002,0.9993096713362069,0.7456896551724138,0.9993093468062377
"3895848a92e74601bc28e64580a4edb6",UNet-num_convs-3-3-stride-1-2,19,"4","8","3","1","2","3","3",1,"0.001","0.5",none,19,0.0008819522394456,0.9999690961234177,0.984704641350211,0.9999690848812494,0.0007100240273962,0.9999800701530612,0.9897959183673469,0.9999800589822405,0.0007435560370956,0.9999831627155172,0.9913793103448276,0.9999831545312872
db7ffa83b4944735b7b65660337a381f,UNet-num_convs-3-3-stride-2-1,14,"4","8","3","2","1","3","3",1,"0.001","0.5",none,14,0.1189438660593727,0.8432483270701476,0.0,0.8166840266527073,0.1143444440498644,0.8464604591836735,0.0,0.8158536779741421,0.11949108682315925,0.8393975619612069,0.0,0.8089375827647087
"3c37120245fe42749a71687ae9e72350",UNet-num_convs-3-3-stride-2-2,19,"4","8","3","2","2","3","3",1,"0.001","0.5",none,19,0.12007793386462871,0.8433863643855485,0.0,0.816930291576818,0.11534054486119018,0.84716796875,0.0,0.8164900687299663,0.12142257456635606,0.8408792429956896,0.0,0.8093406131124207
