run_name,exp,run,arc_features,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
mlp_f8_8_8,SimpleMLP_cd-hit0_full,mlp_f8_8_8,"[8, 8, 8]",21144,0.08189499222983916,0.1086481511592865,0.08789142327649253,0.5776654309771673,0.651448593344163,0.6092288417871793,0.6427600958180238,0.5845236648712164,0.6358245510808749,0.0,0.0,0.0
mlp_f4_64_64,SimpleMLP_cd-hit0_full,mlp_f4_64_64,"[4, 64, 64]",45956,0.07848203306396802,0.10334176463740212,0.08440693148544856,0.578086439175512,0.6741647904876271,0.6212871230601766,0.6652654262308285,0.6180496895247348,0.6418358444048199,0.0,0.0,0.0
mlp_f4_32_64,SimpleMLP_cd-hit0_full,mlp_f4_32_64,"[4, 32, 64]",43748,0.08063117073227961,0.10713224751608712,0.08471098755087171,0.5595480753261101,0.6537226495839713,0.6429690136472038,0.6452307895651205,0.5897836198215464,0.6460109284297412,0.0,0.0,0.0
mlp_f4_32_32,SimpleMLP_cd-hit0_full,mlp_f4_32_32,"[4, 32, 32]",26308,0.08400178172936042,0.10870154308421272,0.08738303503819875,0.5570445363757784,0.6336575146963778,0.6332852208713111,0.6345550606115008,0.6005850997689575,0.6390651690426151,0.0,0.0,0.0
mlp_f4_16_64,SimpleMLP_cd-hit0_full,mlp_f4_16_64,"[4, 16, 64]",42644,0.08219491969794035,0.10788578220776149,0.08998772608382362,0.5849297899202323,0.6537341073705655,0.6319254026914828,0.6416835115854402,0.5996409760144832,0.6241780060191846,0.0,0.0,0.0
mlp_f4_16_32,SimpleMLP_cd-hit0_full,mlp_f4_16_32,"[4, 16, 32]",25716,0.09183785133063793,0.11134043442351478,0.089109867811203,0.6133073851131606,0.6732984369661036,0.6478690739669017,0.6523016907396497,0.6240619727828033,0.6482422048194982,0.0,0.0,0.0
mlp_f4_16_16,SimpleMLP_cd-hit0_full,mlp_f4_16_16,"[4, 16, 16]",17252,0.07415513352801402,0.09882219561508723,0.08382282831839152,0.607152416939838,0.6910916301493243,0.6247418756833644,0.6862786347877056,0.6396876508413891,0.6494771392892263,0.0,0.0,0.0
mlp_f4_8_64,SimpleMLP_cd-hit0_full,mlp_f4_8_64,"[4, 8, 64]",42092,0.08156182384118438,0.10684962144919805,0.08740963893277305,0.5799854069541991,0.6542622770555864,0.6297416003085043,0.6457202541055053,0.5906551786370118,0.6352320112414329,0.0,0.0,0.0
mlp_f4_8_32,SimpleMLP_cd-hit0_full,mlp_f4_8_32,"[4, 8, 32]",25420,0.08121148745218913,0.10703770071268082,0.08724728120224816,0.5958671943664813,0.6497142985513497,0.6172128894409752,0.6454548501336496,0.6055201484546023,0.6305301380176729,0.0,0.0,0.0
mlp_f4_8_16,SimpleMLP_cd-hit0_full,mlp_f4_8_16,"[4, 8, 16]",17084,0.08417674464484055,0.10835318799529757,0.09008347349507469,0.5922492096120912,0.6481411888340859,0.6285525218768436,0.6347858546320744,0.5963302880811661,0.6199456437874465,0.0,0.0,0.0
mlp_f4_8_8,SimpleMLP_cd-hit0_full,mlp_f4_8_8,"[4, 8, 8]",12916,0.08099723126118381,0.10698563711983818,0.08781160520655769,0.5727523858061065,0.6496928012992068,0.626128751104476,0.6454792348012148,0.5900232155885101,0.6339688279250844,0.0,0.0,0.0
mlp_f4_4_64,SimpleMLP_cd-hit0_full,mlp_f4_4_64,"[4, 4, 64]",41816,0.12153208861127496,0.14470834391457693,0.1270256010549409,0.33964478135426696,0.434735761345109,0.4312637216823753,0.5458949484365073,0.5220992814872791,0.5581588055623533,0.0,0.0,0.0
mlp_f4_4_32,SimpleMLP_cd-hit0_full,mlp_f4_4_32,"[4, 4, 32]",25272,0.07857416430488229,0.10691331646272115,0.08530570247343608,0.6059170933395983,0.6593067819020121,0.6295071464062019,0.6553288733674932,0.6032472096374458,0.6443143076525905,0.0,0.0,0.0
mlp_f4_4_16,SimpleMLP_cd-hit0_full,mlp_f4_4_16,"[4, 4, 16]",17000,0.08571245102211833,0.10983911156654358,0.08992037602833339,0.5617302247791943,0.637844411400192,0.5791425416094051,0.6275829455855099,0.5889552630776259,0.6270214547591685,0.0,0.0,0.0
