"experiment_name","run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_layers","arc_num_conv2","arc_latent_dim","arc_latent_volume","arc_skip","arc_encoder_blocks","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
UNet_selection_v4p,"9e11ca8d31d7494db7c0026ef58620d0",A_nc1-resnet1-nc3-2encode-flat1-skip0,18,"8","16","3","2","2","1","1","3","64","128","0","2",18,0.10509278606387633,0.8655990407436709,0.0,0.8488636268180477,0.1270373022677947,0.8346918845663265,0.0,0.8029781040247622,0.12419713352774751,0.8357017780172413,0.0,0.8100867827071161
UNet_selection_v4p,a92d535687884708b1355b81470c4cab,A_nc1-resnet1-nc3-2encode-flat1-skip1,19,"8","16","3","2","2","1","1","3","64","128","1","2",19,0.00938844488332449,0.9952644959783755,0.18881856540084388,0.995257648396244,0.009718786991600479,0.9940509406887755,0.16326530612244897,0.9940467413261881,0.010303602754620129,0.9934166217672413,0.10775862068965517,0.9934091318800354
UNet_selection_v4p,"141422744ad04700a28f8e1868c1c263",A_nc1-resnet2-nc1-2encode-flat1-skip0,16,"8","16","3","2","2","1","2","1","64","512","0","2",16,0.09046398847509285,0.8917488709783755,0.0,0.882637468433115,0.12485572452447852,0.8449956154336735,0.0,0.8233642393138273,0.11978684969503305,0.8521265490301724,0.0,0.8348870245601697
UNet_selection_v4p,"9d26a779df7d4554a84fce816e3ad86d",A_nc1-resnet2-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","1","2","1","64","512","1","2",19,0.0009236452586012,0.9999587948312236,0.9820675105485233,0.9999587812186117,0.0005319241632717,0.9999103156887755,0.9540816326530612,0.9999103485086114,0.0004779446894175,0.999932650862069,0.9956896551724138,0.9999325651166387
UNet_selection_v4p,ed8101b7c4e7412291c682bf2641d17c,A_nc1-resnet2-nc2-2encode-flat1-skip0,10,"8","16","3","2","2","1","2","2","64","256","0","2",10,0.10255402292003109,0.8678539936049579,0.0,0.8521105960064104,0.1267155215752368,0.8334661989795918,0.0,0.8023004351876115,0.12092998161398132,0.8442466998922413,0.0,0.8216972183108856
UNet_selection_v4p,be31aff8354e45d38afbb84d0b5d2da9,A_nc1-resnet2-nc2-2encode-flat1-skip1,19,"8","16","3","2","2","1","2","2","64","256","1","2",19,0.002265212652646791,0.9999443730221519,0.9757383966244726,0.9999443760351346,0.002127109575370441,0.9999103156887755,0.9591836734693877,0.9999102747959896,0.0022891905893378988,0.9998821390086207,0.9439655172413793,0.9998821012339199
UNet_selection_v4p,"7f80ed859e244162947428832afc9de3",A_nc1-resnet2-nc3-2encode-flat1-skip0,17,"8","16","3","2","2","1","2","3","64","128","0","2",17,0.10785164743787629,0.8624272728771097,0.0,0.8453782687750128,0.12990958775792802,0.8298290019132653,0.0,0.8000371858863925,0.12491645548364212,0.8367120150862069,0.0,0.8130175350688779
UNet_selection_v4p,"9d8d7f4cfa0f4eff828ab4b24d9dcbc5",A_nc1-resnet2-nc3-2encode-flat1-skip1,16,"8","16","3","2","2","1","2","3","64","128","1","2",16,0.006617978530570488,0.9952655261075949,0.32331223628691985,0.9952556730065596,0.005807126724940478,0.9954161352040817,0.35714285714285715,0.995407836601638,0.004997219565196027,0.9970703125,0.49137931034482757,0.997065544825033
UNet_selection_v4p,"68b636476dc748f985a24fb5abaa6c8d",A_nc2-resnet0-nc1-2encode-flat1-skip0,19,"8","16","3","2","2","2","0","1","64","256","0","2",19,0.1083979618260126,0.8605359556302743,0.0,0.8424312783167016,0.12906319754464285,0.8301578443877551,0.0,0.7984570356096881,0.1269246308967985,0.8333445581896551,0.0,0.8076726543871818
UNet_selection_v4p,"4b20c04cc8ce41c3a93f227a103d4f70",A_nc2-resnet0-nc1-2encode-flat1-skip1,18,"8","16","3","2","2","2","0","1","64","256","1","2",18,0.01852398419571954,0.9858655969804853,0.014767932489451477,0.9857486945767207,0.022164637051826835,0.9788145727040817,0.0,0.9785603255282843,0.02398689152223283,0.97705078125,0.004310344827586207,0.9768017308690106
UNet_selection_v4p,e526cb5845ce4b89979f1230d0ac1d51,A_nc2-resnet0-nc2-2encode-flat1-skip0,18,"8","16","3","2","2","2","0","2","64","128","0","2",18,0.11885729149172578,0.8500914754746836,0.0,0.8264990997594958,0.1336020526229119,0.8306361607142857,0.0,0.7901544656581486,0.13193203277628998,0.8334792564655172,0.0,0.7996699512486404
UNet_selection_v4p,"16fd2b6ce8594a8b92a7b2862af9bbf8",A_nc2-resnet0-nc2-2encode-flat1-skip1,19,"8","16","3","2","2","2","0","2","64","128","1","2",19,0.033911664451507825,0.966796875,0.0,0.9661096444878782,0.03648958404605486,0.9607979910714286,0.0,0.9595881265980003,0.03870902701826959,0.9584455818965517,0.0,0.9571939743978346
UNet_selection_v4p,a5bcefaad2f6481a9c77fe1216822d60,A_nc2-resnet0-nc3-2encode-flat1-skip0,17,"8","16","3","2","2","2","0","3","64","64","0","2",17,0.1195988643458624,0.8414383900316456,0.0,0.8070272786510663,0.1308635524949249,0.8260722257653061,0.0,0.7737299794479845,0.12471919198488367,0.8340685614224138,0.0,0.7967989378147163
UNet_selection_v4p,"6d536ba7bc0e4e83ae329073c2197f39",A_nc2-resnet0-nc3-2encode-flat1-skip1,19,"8","16","3","2","2","2","0","3","64","64","1","2",19,0.031655505782912804,0.9663549495648734,0.0005274261603376,0.9658704754769787,0.035844248662493666,0.9560945471938775,0.0,0.955229608597646,0.0347426887601614,0.9597757273706896,0.0,0.9589073716663495
UNet_selection_v4p,"2da13009405148a8ae6cd585726330e8",A_nc2-resnet1-nc1-2encode-flat1-skip0,14,"8","16","3","2","2","2","1","1","64","256","0","2",14,0.11123837579340372,0.8571221073971519,0.0,0.8337151980068529,0.13273702060081521,0.8275968590561225,0.0,0.7854616407666857,0.12764023103076835,0.8354828933189655,0.0,0.8039365470330196
UNet_selection_v4p,"85ad8423d33241e9a370176195921bae",A_nc2-resnet1-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","2","1","1","64","256","1","2",19,0.02418736396121639,0.9784630884098101,0.004746835443037975,0.9782268788001532,0.030286828854254315,0.9676538584183674,0.0,0.9670321330588033,0.029395165114567197,0.9697013065732759,0.0,0.9692388868034245
UNet_selection_v4p,"7c1a95c1b60f402ea70760868b396930",A_nc2-resnet1-nc2-2encode-flat1-skip0,18,"8","16","3","2","2","2","1","2","64","128","0","2",18,0.12069507625409823,0.848723463871308,0.0,0.8239585324227325,0.13623247964649784,0.8287727200255102,0.0,0.7879401876671805,0.13189585494070216,0.8291857489224138,0.0,0.7945760254673112
UNet_selection_v4p,"3b3e766de1414bfd98937da9eb597573",A_nc2-resnet1-nc2-2encode-flat1-skip1,19,"8","16","3","2","2","2","1","2","64","128","1","2",19,0.04730170782859818,0.9531569340058017,0.0,0.951459460883011,0.05325905134787365,0.9418546715561225,0.0,0.9392327270416813,0.05298156541740072,0.9424669989224138,0.0,0.9399921633237386
UNet_selection_v4p,"8e0933329a594df4b5ff268f41781d76",A_nc2-resnet1-nc3-2encode-flat1-skip0,19,"8","16","3","2","2","2","1","3","64","64","0","2",19,0.12160058770690287,0.8418504417194093,0.0,0.8093029367279161,0.13041831248877,0.8268594547193877,0.0,0.77613833153021,0.12910679881942683,0.8311051993534483,0.0,0.7905898397945363
UNet_selection_v4p,ff9c8f40afd44de2965bcdd38e18c5cf,A_nc2-resnet1-nc3-2encode-flat1-skip1,17,"8","16","3","2","2","2","1","3","64","64","1","2",17,0.043548473286666445,0.9491723941851266,0.0,0.9481004104718,0.04662104293095822,0.9416952327806123,0.0,0.9400939635656003,0.045524656515696954,0.9444958917025862,0.0,0.9432431597075371
UNet_selection_v4p,"0a964666dea946e3945317b3b7adc1f4",A_nc2-resnet2-nc1-2encode-flat1-skip0,18,"8","16","3","2","2","2","2","1","64","256","0","2",18,0.11237053881214641,0.8546590684335443,0.0,0.8326544991785949,0.12707006931304932,0.8330177774234694,0.0,0.7927601152925458,0.13115706821453982,0.8285122575431034,0.0,0.7930481673577312
UNet_selection_v4p,d4de9d898c794d07bfe17cb8ca0d7d93,A_nc2-resnet2-nc1-2encode-flat1-skip1,18,"8","16","3","2","2","2","2","1","64","256","1","2",18,0.02265683209861507,0.9813680528085443,0.005274261603375527,0.981158777164764,0.024245285904225037,0.9768315529336735,0.01020408163265306,0.9765204322152277,0.026094104934098392,0.9754175646551724,0.004310344827586207,0.9750268610281916
UNet_selection_v4p,"3d6258b9a6b14adbab724c33b69a0d74",A_nc2-resnet2-nc2-2encode-flat1-skip0,17,"8","16","3","2","2","2","2","2","64","128","0","2",17,0.11563217795536487,0.8477520520174051,0.0,0.8238776149166631,0.12953371463381513,0.8274573501275511,0.0,0.791947468064544,0.12791955098509789,0.8306169181034483,0.0,0.8004587558404149
UNet_selection_v4p,"8cac38134f884df3a9f3eb9b9f373c8b",A_nc2-resnet2-nc2-2encode-flat1-skip1,19,"8","16","3","2","2","2","2","2","64","128","1","2",19,0.025692681369336345,0.9753366462289029,0.0015822784810126582,0.9750333812618004,0.030914397378052984,0.9646444515306123,0.0,0.9639148448704933,0.03187399999848727,0.9639429552801724,0.0,0.9632025788626115
UNet_selection_v4p,"09014571ef2c4e92888772f00bf2348c",A_nc2-resnet2-nc3-2encode-flat1-skip0,17,"8","16","3","2","2","2","2","3","64","64","0","2",17,0.12556135821065822,0.8366565301951476,0.0,0.8050656498657027,0.13542100635110116,0.823112643494898,0.0,0.7742414833131551,0.13084194500898494,0.825750942887931,0.0,0.786363555393232
UNet_selection_v4p,"704978f0f5b145d3a9834365dbbde4d3",A_nc2-resnet2-nc3-2encode-flat1-skip1,19,"8","16","3","2","2","2","2","3","64","64","1","2",19,0.03483579091271896,0.9607489863528481,0.0,0.9601561835049404,0.038094861242844134,0.9527861926020408,0.0,0.9518778882300345,0.03861876779460702,0.9522494612068966,0.0,0.951313880141856
