,model,run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,arc_skip,arc_encoder_blocks,arc_kernels,limit
83,Encoder,SCNN_nc1_f4_8,SimpleCNN_compress,SCNN_nc1_f4_8,"[4, 8]",1.0,512.0,65853,0.0159972040603558,0.1310679782181978,0.0591853288933634,0.8101810222300738,0.9822952875438636,0.9215881459318154,0.980023376986844,0.8202924046963136,0.9110910064787818,0.0,0.0,0.0,,,,128
84,Encoder,SCNN_nc1_f4_4,SimpleCNN_compress,SCNN_nc1_f4_4,"[4, 4]",1.0,256.0,33021,0.0383212896063923,0.1480610631406307,0.0799069181084632,0.8052903511888373,0.9589019342229332,0.8966482845520898,0.9534365572250828,0.8081676775148452,0.882748963976486,0.0,0.0,0.0,,,,128
85,Encoder,SCNN_nc1_f16,SimpleCNN_compress,SCNN_nc1_f16,[16],1.0,2048.0,262529,0.0091286219346026,0.1301117297261953,0.0544933779165148,0.8088114880093028,0.9900391729646087,0.9295902413589338,0.988781052187902,0.8232429407146848,0.920318509210931,0.0,0.0,0.0,,,,128
86,Encoder,SCNN_nc1_f8,SimpleCNN_compress,SCNN_nc1_f8,[8],1.0,1024.0,131329,0.0152170241189499,0.1408767495304346,0.0526023674756288,0.7997194920498938,0.983370666878143,0.932869938757501,0.981289601547554,0.8109011427484624,0.9242160551291808,0.0,0.0,0.0,,,,128
87,Encoder,SCNN_nc1_f4,SimpleCNN_compress,SCNN_nc1_f4,[4],1.0,512.0,65729,0.0327314738805095,0.1420759242027998,0.06682582013309,0.798853563706957,0.9636391195797326,0.9177672275980918,0.959658167616508,0.813170683475734,0.9082380889202396,0.0,0.0,0.0,,,,128
88,MLP,SMLP_f64_64_64,SimpleMLP,SMLP_f64_64_64,"[64, 64, 64]",,,49472,0.0987969574828942,0.1353475209325552,0.0733801228925585,0.7459121961956037,0.8652009106378704,0.8992543162183898,0.8483135363116738,0.7607764585519693,0.8863266672170493,0.0390625,0.03125,0.0,,,,128
89,MLP,SMLP_f32_64_64,SimpleMLP,SMLP_f32_64_64,"[32, 64, 64]",,,31008,0.0980211488902568,0.144825117662549,0.1013910919427871,0.7347096059031321,0.8500030881806927,0.8283263099791761,0.8294863508195268,0.7329183124821765,0.8020790023920372,0.0,0.0,0.0,,,,128
90,MLP,SMLP_f32_32_64,SimpleMLP,SMLP_f32_32_64,"[32, 32, 64]",,,27904,0.0885495908558368,0.1633406560868024,0.0807212255895137,0.7222806258368205,0.8816744823618899,0.8861828844748326,0.8670735834387315,0.7234936373604093,0.8716142487008177,0.0520833333333333,0.00390625,0.0,,,,128
91,MLP,SMLP_f32_32_32,SimpleMLP,SMLP_f32_32_32,"[32, 32, 32]",,,22752,0.081342476606369,0.1682410556823015,0.0863677244633436,0.7626657049226806,0.8958185023196736,0.8860865620561584,0.8819820507856553,0.7618890342669543,0.872660244030485,0.0055208333457509,0.0,0.0,,,,128
92,MLP,SMLP_f16_64_64,SimpleMLP,SMLP_f16_64_64,"[16, 64, 64]",,,21776,0.0830908693373203,0.1524082086980343,0.0819971952587366,0.7451221849164963,0.8837729201422732,0.8754704154387768,0.8681469058940894,0.7443644043665754,0.859865518457593,0.0,0.0,0.0,,,,128
