run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip0_f16_32_64,Seq2Motif_cd-hit0_full,s2m_skip0_f16_32_64,"[16, 32, 64]",0,2,2,2048.0,40385,0.04584437880354623,0.07821318187883922,0.07238152357084411,0.747695592433355,0.8344646032167978,0.7146937196740915,0.8201957445262745,0.7337436945900675,0.7113389003547956,0.0,0.0,0.0
s2m_skip1_f16_32_32,Seq2Motif_cd-hit0_full,s2m_skip1_f16_32_32,"[16, 32, 32]",1,2,2,1024.0,28673,0.04375569491336743,0.07575229342494692,0.06939749898655075,0.7650026880842224,0.842934710458751,0.7297444122203636,0.8292044795368997,0.7417999944401208,0.7230727102402775,0.0,0.0,0.0
s2m_skip0_f16_32_32,Seq2Motif_cd-hit0_full,s2m_skip0_f16_32_32,"[16, 32, 32]",0,2,2,1024.0,24833,0.04761412002456685,0.07696527242660522,0.07022905402949878,0.7538074466551115,0.826556160160019,0.731448358524333,0.8106770627756994,0.7296921414938492,0.7181875391984784,0.0,0.0,0.0
s2m_skip1_f16_16_64,Seq2Motif_cd-hit0_full,s2m_skip1_f16_16_64,"[16, 16, 64]",1,2,2,2048.0,27121,0.04414326945940653,0.08111392493758883,0.06945348264915603,0.7632169126439449,0.841620033033077,0.7323733883126575,0.8280803518020273,0.7359596286998379,0.7234974702582386,0.0,0.0,0.0
s2m_skip0_f16_16_64,Seq2Motif_cd-hit0_full,s2m_skip0_f16_16_64,"[16, 16, 64]",0,2,2,2048.0,25585,0.04760465677827597,0.07787152805498668,0.07177402611289706,0.7522369562132603,0.8283977598339889,0.728494043804871,0.8126047799284498,0.7273728475721308,0.7110324919786585,0.0,0.0,0.0
s2m_skip1_f16_16_32,Seq2Motif_cd-hit0_full,s2m_skip1_f16_16_32,"[16, 16, 32]",1,2,2,1024.0,14641,0.04812391637824476,0.07597635047776359,0.07095477570380483,0.7513536705943314,0.8237162107214283,0.7309022779116002,0.809681936112277,0.7331736206529058,0.7140858151680239,0.0,0.0,0.0
s2m_skip0_f16_16_32,Seq2Motif_cd-hit0_full,s2m_skip0_f16_16_32,"[16, 16, 32]",0,2,2,1024.0,13105,0.05169041392703851,0.07891056367329188,0.0714980284018176,0.7477769741499438,0.808666635213905,0.7283488971011131,0.7919980504631067,0.7208032146477057,0.7136931483077931,0.0,0.0,0.0
s2m_skip1_f16_16_16,Seq2Motif_cd-hit0_full,s2m_skip1_f16_16_16,"[16, 16, 16]",1,2,2,512.0,10705,0.05043542090182503,0.07866032528025764,0.07103448467595237,0.7479416588638047,0.814609583415188,0.7350839104609314,0.7993290108057871,0.7272986770088993,0.7204626504197267,0.0,0.0,0.0
s2m_skip0_f16_16_16,Seq2Motif_cd-hit0_full,s2m_skip0_f16_16_16,"[16, 16, 16]",0,2,2,512.0,9169,0.05590565875172615,0.0831715560385159,0.07413341796823911,0.6350916112126138,0.7934638662890947,0.7161145866974635,0.7729438338543811,0.68426324644477,0.6993012513264595,0.0,0.0,0.0
s2m_skip1_f8_64_64,Seq2Motif_cd-hit0_full,s2m_skip1_f8_64_64,"[8, 64, 64]",1,2,2,2048.0,91281,0.03618633413376907,0.07722557548965726,0.06808983907103539,0.7468513349260746,0.8728114264945482,0.7278110517554206,0.8631934928914915,0.749017567207751,0.7276282621828339,0.0,0.0,0.0
