run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,arc_kernel,test_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,name,train_swaps
skip0_kernel13_noise_0.9_n4_0_n8_1,"[4, 8]",1,1976,512.0,2,0,13,,0.14151130666335424,0.11224565841257572,,0.5596199054713312,0.3929753418462241,,0.3929753418462241,0.5596199054713312,,0.0,0.0,,skip0_kernel13_noise_0.9_n4_0_n8_1,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,1720,512.0,2,0,11,0.9,,,0.14612234011292458,,,0.3128131387680538,,,0.3128131387680538,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.9,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,1720,512.0,2,0,11,0.7,,,0.13654888048768044,,,0.3700866295652939,,,0.370086629565294,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.7,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,1720,512.0,2,0,11,0.5,,,0.130643330514431,,,0.4150717757507702,,,0.4150717757507702,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.5,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,1720,512.0,2,0,11,0.3,,,0.12597043439745903,,,0.45319488501234895,,,0.45319488501234895,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.3,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,1720,512.0,2,0,11,0.2,,,0.12403008714318275,,,0.47035478682018494,,,0.47035478682018494,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.2,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,1720,512.0,2,0,11,0.1,,,0.12250964902341366,,,0.48461569608954663,,,0.48461569608954663,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.1,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,1720,512.0,2,0,11,0.0,,,0.12136879190802574,,,0.49650375218845777,,,0.49650375218845777,,,0.0,skip0_kernel11_noise_0.9_n4_0_n8_1-0.0,0.9
skip0_kernel11_noise_0.9_n4_0_n8_1,"[4, 8]",1,1720,512.0,2,0,11,,0.1450131451090177,0.12188034132122993,,0.5094967414417731,0.3703298698332737,,0.3703298698332737,0.5094967414417731,,0.0,0.0,,skip0_kernel11_noise_0.9_n4_0_n8_1,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,1208,512.0,2,0,7,0.9,,,0.14336921274662018,,,0.32809021590350634,,,0.32809021590350634,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.9,0.9
