run_name,exp,run,arc_features,arc_num_conv,arc_skip,arc_encoder_blocks,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2pp_nc2_skip_0_f8_32,seq2pp,s2pp_nc2_skip_0_f8_32,"[8, 32]",2,0,1,2048.0,5585,0.04859947090347608,0.14958090148866177,0.12181628681719303,0.7759774345009309,0.9338965549866782,0.8081091770702973,0.9246517117012195,0.7628749861711293,0.7916110270420302,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_16,seq2pp,s2pp_nc2_skip_1_f8_16,"[8, 16]",2,1,1,1024.0,2609,0.06743501064678033,0.15276773273944855,0.1191545594483614,0.7626225438827762,0.9068719185058758,0.8118143188416722,0.893101740323424,0.7444620051431681,0.7928213037270717,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_16,seq2pp,s2pp_nc2_skip_0_f8_16,"[8, 16]",2,0,1,1024.0,2417,0.06657985573013624,0.1448553018271923,0.12370822951197624,0.7501963657669752,0.9069943842037422,0.8077070906535244,0.8931608910595922,0.7442255317433295,0.7928745468620101,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_8,seq2pp,s2pp_nc2_skip_1_f8_8,"[8, 8]",2,1,1,512.0,1601,0.07629405781626701,0.14956168457865715,0.11977911926805973,0.7715099990037325,0.8927817928002856,0.8236589815534908,0.8762409594246632,0.7510683882671574,0.7990981011431033,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_8,seq2pp,s2pp_nc2_skip_0_f8_8,"[8, 8]",2,0,1,512.0,1409,0.08124899839361509,0.1438729651272297,0.12204347364604473,0.7551443364657985,0.8856384792192364,0.826322264659757,0.8670780035002512,0.7353104680371817,0.7950110114860006,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_32,seq2pp,s2pp_nc2_skip_1_f4_32,"[4, 32]",2,1,1,2048.0,4329,0.06235521237055461,0.15085344947874546,0.1406795997172594,0.7635504190553217,0.9151869891895561,0.7748609150007904,0.9029804171583427,0.7502932661251611,0.7545454355398146,0.0,0.0,0.0
s2pp_nc2_skip_0_f4_32,seq2pp,s2pp_nc2_skip_0_f4_32,"[4, 32]",2,0,1,2048.0,4281,0.06482447100182374,0.15145973674952984,0.12064261548221111,0.7531983608699312,0.9096045743341329,0.8269621235815144,0.8962725218708324,0.7357683918662625,0.7998702741710483,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_16,seq2pp,s2pp_nc2_skip_1_f4_16,"[4, 16]",2,1,1,1024.0,1545,0.08163491810361544,0.1476193554699421,0.13420632854104042,0.7564683360528524,0.8873720762990038,0.7892334415925255,0.8697551660100228,0.7462081443194918,0.7725803584278559,0.0,0.0,0.0
s2pp_nc2_skip_0_f4_16,seq2pp,s2pp_nc2_skip_0_f4_16,"[4, 16]",2,0,1,1024.0,1497,0.08356630479296048,0.15129736065864563,0.13124501332640648,0.748089152877242,0.8827682787657128,0.8006032374875827,0.8646668146388689,0.7321035161547507,0.7745910547681443,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_8,seq2pp,s2pp_nc2_skip_1_f4_8,"[4, 8]",2,1,1,512.0,729,0.09773530090848605,0.16734445095062256,0.1295325830578804,0.7408393009793617,0.8618951726319698,0.7950676403878295,0.8397241003132002,0.7065247188725319,0.7716249442034094,0.0,0.0,0.0
