run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k_3_f16_64_64_64,SimpleCNN_no_pooling,scnn_k_3_f16_64_64_64,"[16, 64, 64, 64]","[3, 3, 3, 3]",28529,0.04754523684581121,0.16469422355294228,0.12007615529000759,0.7473877282693415,0.9366396635125877,0.8175663768793231,0.9282294342231372,0.7350229131846673,0.792243996567387,0.0,0.0,0.0
scnn_k_3_f16_32_64_64,SimpleCNN_no_pooling,scnn_k_3_f16_32_64_64,"[16, 32, 64, 64]","[3, 3, 3, 3]",20753,0.046706448992093405,0.16345858201384544,0.12613684684038162,0.7575200194465278,0.9380710007606557,0.805219852621112,0.9298124985769682,0.7488686230694162,0.7827979392286706,0.0,0.0,0.0
scnn_k_3_f16_32_32_64,SimpleCNN_no_pooling,scnn_k_3_f16_32_32_64,"[16, 32, 32, 64]","[3, 3, 3, 3]",11441,0.05575513578951359,0.1658368930220604,0.129856264218688,0.7319579226197463,0.925274272527225,0.7917291093845753,0.9151920070511395,0.7309153726374242,0.7741560989570069,0.0,0.0,0.0
scnn_k_3_f16_32_32_32,SimpleCNN_no_pooling,scnn_k_3_f16_32_32_32,"[16, 32, 32, 32]","[3, 3, 3, 3]",8241,0.06035048315922419,0.15248852223157883,0.11845778487622738,0.7568831289978032,0.9181799321225983,0.8171521658821075,0.9067855321367464,0.7514782077049456,0.7881162308029805,0.0,0.0,0.0
scnn_k_3_f16_16_64_64,SimpleCNN_no_pooling,scnn_k_3_f16_16_64_64,"[16, 16, 64, 64]","[3, 3, 3, 3]",16865,0.05259442316989104,0.16248685866594315,0.13086433336138725,0.750526385091632,0.9299230993282653,0.791771092864661,0.9205011097037702,0.7405784390142283,0.7748373670088491,0.0,0.0,0.0
scnn_k_3_f16_16_32_64,SimpleCNN_no_pooling,scnn_k_3_f16_16_32_64,"[16, 16, 32, 64]","[3, 3, 3, 3]",9089,0.06346076739331087,0.16087832488119602,0.1285928636789322,0.7565553199929096,0.9133170332266213,0.797404704761802,0.9013106370978217,0.7388424759310144,0.7674737048301961,0.0,0.0,0.0
scnn_k_3_f16_16_32_32,SimpleCNN_no_pooling,scnn_k_3_f16_16_32_32,"[16, 16, 32, 32]","[3, 3, 3, 3]",5889,0.06735480303565661,0.15915121883153915,0.12311672791838646,0.7384261732309894,0.9077542487786859,0.8186406879643711,0.8944581035046506,0.7263488896996932,0.7898981712208353,0.0,0.0,0.0
scnn_k_3_f16_16_16_64,SimpleCNN_no_pooling,scnn_k_3_f16_16_16_64,"[16, 16, 16, 64]","[3, 3, 3, 3]",5201,0.07020339282850424,0.15142124891281128,0.13373064808547497,0.7480624345798799,0.9039545092921943,0.7866904954348669,0.8905100185676924,0.7467221995433907,0.7655459212569111,0.0,0.0,0.0
scnn_k_3_f16_16_16_32,SimpleCNN_no_pooling,scnn_k_3_f16_16_16_32,"[16, 16, 16, 32]","[3, 3, 3, 3]",3537,0.07253927141427993,0.1633850745856762,0.1258840151131153,0.7370488851987242,0.9004395315339978,0.8011102770941303,0.8858459965102481,0.720106911690599,0.7743512436315159,0.0,0.0,0.0
scnn_k_3_f16_16_16_16,SimpleCNN_no_pooling,scnn_k_3_f16_16_16_16,"[16, 16, 16, 16]","[3, 3, 3, 3]",2705,0.07800286859273911,0.1651109680533409,0.12874742224812508,0.7442827055636625,0.8919560461350067,0.8104437596223969,0.8760556239448294,0.7193260006968774,0.7769837865705558,0.0,0.0,0.0
