run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc2_f16_64,SimpleCNN,nc2_f16_64,"[16, 64]",2,4096.0,541281,0.007813155301846564,0.11981723085045815,0.047703604213893414,0.8339453525498033,0.9912997423342292,0.9367248102520003,0.9901988652970335,0.839909097053767,0.9285689157830209,0.0,0.0,0.0
nc2_f16_32,SimpleCNN,nc2_f16_32,"[16, 32]",2,2048.0,268161,0.010660987549150984,0.1301485225558281,0.05726028140634298,0.8259869918959141,0.9882375645384825,0.9234410983393214,0.98674117002144,0.8328526249447531,0.9139811589896848,0.0,0.0,0.0
nc2_f8_64,SimpleCNN,nc2_f8_64,"[8, 64]",2,4096.0,539025,0.00999331409111619,0.12783199548721313,0.055426265113055706,0.8269794804827726,0.9887878647235401,0.9259577844954721,0.987362330515475,0.8305292076792516,0.9168087531192037,0.0,0.0,0.0
nc2_f8_32,SimpleCNN,nc2_f8_32,"[8, 32]",2,2048.0,266673,0.014324865986903508,0.14406036771833897,0.06442819535732269,0.8006916789914774,0.9838959425271654,0.9116472584376123,0.9818627853674979,0.8039696340196973,0.9018894966846532,0.0,0.0,0.0
nc2_f8_16,SimpleCNN,nc2_f8_16,"[8, 16]",2,1024.0,132801,0.015117178329577048,0.14561905525624752,0.057794938795268536,0.8031223017169327,0.982919648923382,0.9231862504713355,0.9807307878697671,0.8086538917226737,0.9127333639075323,0.0,0.0,0.0
nc2_f4_64,SimpleCNN,nc2_f4_64,"[4, 64]",2,4096.0,538041,0.012478646667053303,0.1367918774485588,0.06086705531924963,0.8166036892340715,0.9860934663435773,0.9204575084930615,0.984337369170915,0.820062133742764,0.9106918506599729,0.0,0.0,0.0
nc2_f4_32,SimpleCNN,nc2_f4_32,"[4, 32]",2,2048.0,266073,0.013376892016579708,0.13341623172163963,0.06499241385608912,0.8194668495903309,0.9850391929816688,0.9136328582902072,0.9831061633556923,0.8193684701979114,0.9024652099152733,0.0,0.0,0.0
nc2_f4_16,SimpleCNN,nc2_f4_16,"[4, 16]",2,1024.0,132393,0.016435970086604357,0.13959402590990067,0.06753269117325544,0.8164602058773314,0.9814237262230521,0.9071232592006059,0.9789978725610059,0.8152527359891999,0.8950458009125345,0.0,0.0,0.0
nc2_f4_8,SimpleCNN,nc2_f4_8,"[4, 8]",2,512.0,66129,0.01407015516112248,0.1558211725205183,0.07372554391622543,0.7896378093730745,0.9840930503891856,0.89690757418759,0.9820750658115177,0.7927583698453433,0.8842455154263296,0.0,0.0,0.0
nc2_f64,SimpleCNN,nc2_f64,[64],2,8192.0,1062209,0.14945352921883265,0.2206091322004795,0.15202082321047783,0.7316160107148226,0.8447742739212967,0.8441419938941309,0.8266921834289248,0.7334226180299418,0.82304162306556,0.0,0.0,0.0
nc2_f32,SimpleCNN,nc2_f32,[32],2,4096.0,528097,0.049828968445460003,0.14624561928212643,0.06891128048300743,0.8030862432059643,0.9464859363094333,0.9186692204731304,0.9398034654125759,0.810189891294799,0.9084150961935314,0.0,0.0,0.0
nc2_f16,SimpleCNN,nc2_f16,[16],2,2048.0,263345,0.026288218734165033,0.15262598544359207,0.07262308709323406,0.7964451540086568,0.9716294080563298,0.9053627988434242,0.9679912563539023,0.8020732356003972,0.8932589644731416,0.0,0.0,0.0
nc2_f8,SimpleCNN,nc2_f8,[8],2,1024.0,131545,0.019852175625662008,0.14969742111861706,0.06323996465653181,0.791405782524145,0.9781795888388564,0.9184940579640533,0.9754868573336187,0.7998298638050857,0.9081862966738726,0.0,0.0,0.0
