run_name,arc_features,arc_skip,arc_num_conv,arc_latent_volume,arc_encoder_blocks,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-2-n4-1-n8-2-skip0-6,"[4, 4, 8, 8]",0,2,128.0,3,6,,,0.14850110560655594,,,0.6434207314016699,,,0.7495345461007319,,,0.0
nc-2-n4-1-n8-2-skip0-8,"[4, 4, 8, 8]",0,2,128.0,3,8,,,0.148476704955101,,,0.6438586750024055,,,0.7499687348412049,,,0.0
nc-2-n4-1-n8-2-skip0-10,"[4, 4, 8, 8]",0,2,128.0,3,10,,,0.14849139750003815,,,0.6435107805475804,,,0.7497793251090035,,,0.0
nc-2-n4-1-n8-2-skip0-12,"[4, 4, 8, 8]",0,2,128.0,3,12,,,0.14872979372739792,,,0.6437746319205604,,,0.7497361583065616,,,0.0
nc-2-n4-1-n8-2-skip0-14,"[4, 4, 8, 8]",0,2,128.0,3,14,,,0.14882159233093262,,,0.6435267783629681,,,0.7497842662644512,,,0.0
nc-2-n4-1-n8-2-skip0-16,"[4, 4, 8, 8]",0,2,128.0,3,16,,,0.1488339826464653,,,0.6434627839388605,,,0.7498369142711462,,,0.0
nc-2-n4-1-n8-2-skip0-18,"[4, 4, 8, 8]",0,2,128.0,3,18,,,0.14890360087156296,,,0.6434936330572794,,,0.7497170956213948,,,0.0
nc-2-n4-1-n8-2-skip0-20,"[4, 4, 8, 8]",0,2,128.0,3,20,,,0.14926538616418839,,,0.6438663448512649,,,0.7499568331975581,,,0.0
nc-2-n4-1-n8-2-skip0-22,"[4, 4, 8, 8]",0,2,128.0,3,22,,,0.14917176216840744,,,0.6435830741501715,,,0.7497720637908228,,,0.0
nc-2-n4-1-n8-2-skip0-24,"[4, 4, 8, 8]",0,2,128.0,3,24,,,0.14928966760635376,,,0.6434523257490412,,,0.7496786694210795,,,0.0
nc-2-n4-1-n8-2-skip0-26,"[4, 4, 8, 8]",0,2,128.0,3,26,,,0.14929138123989105,,,0.6436294245323011,,,0.749901664474809,,,0.0
nc-2-n4-1-n8-2-skip0-28,"[4, 4, 8, 8]",0,2,128.0,3,28,,,0.1494002714753151,,,0.6436546690632987,,,0.7498442758659873,,,0.0
nc-2-n4-1-n8-2-skip0-30,"[4, 4, 8, 8]",0,2,128.0,3,30,,,0.1499989852309227,,,0.6435908733715215,,,0.749805649112351,,,0.0
nc-2-n4-1-n8-2-skip0,"[4, 4, 8, 8]",0,2,128.0,3,0,0.14752228458722433,0.13762422651052475,,0.643651608118675,0.6452854573923591,,0.7502723559615609,0.7495572279762024,,0.0,0.0,
nc-2-n4-1-n8-1-skip1-0,"[4, 4, 8]",1,2,256.0,2,0,,,0.06814834848046303,,,0.8654250926742706,,,0.8748759991695252,,,0.0
nc-2-n4-1-n8-1-skip1-2,"[4, 4, 8]",1,2,256.0,2,2,,,0.06809288263320923,,,0.8648334085978175,,,0.874331071876912,,,0.0
nc-2-n4-1-n8-1-skip1-4,"[4, 4, 8]",1,2,256.0,2,4,,,0.06825513020157814,,,0.8644513517834955,,,0.8741398433652803,,,0.0
nc-2-n4-1-n8-1-skip1-6,"[4, 4, 8]",1,2,256.0,2,6,,,0.06809369847178459,,,0.8645073768007101,,,0.8740541114203598,,,0.0
nc-2-n4-1-n8-1-skip1-8,"[4, 4, 8]",1,2,256.0,2,8,,,0.06798427551984787,,,0.8644421673509641,,,0.8740152841134023,,,0.0
nc-2-n4-1-n8-1-skip1-10,"[4, 4, 8]",1,2,256.0,2,10,,,0.06785209104418755,,,0.8643002767634309,,,0.8738645011348374,,,0.0
nc-2-n4-1-n8-1-skip1-12,"[4, 4, 8]",1,2,256.0,2,12,,,0.0677904412150383,,,0.8650025779170084,,,0.8745548691439258,,,0.0
nc-2-n4-1-n8-1-skip1-14,"[4, 4, 8]",1,2,256.0,2,14,,,0.06802915036678314,,,0.8633443535422298,,,0.8730509915466591,,,0.0
nc-2-n4-1-n8-1-skip1-16,"[4, 4, 8]",1,2,256.0,2,16,,,0.06836780533194542,,,0.8636678590067564,,,0.8734901214425796,,,0.0
nc-2-n4-1-n8-1-skip1-18,"[4, 4, 8]",1,2,256.0,2,18,,,0.06791035830974579,,,0.8637384348324517,,,0.873325116657635,,,0.0
nc-2-n4-1-n8-1-skip1-20,"[4, 4, 8]",1,2,256.0,2,20,,,0.06829169020056725,,,0.8635010174459864,,,0.8732263800258018,,,0.0
nc-2-n4-1-n8-1-skip1-22,"[4, 4, 8]",1,2,256.0,2,22,,,0.06804963946342468,,,0.8620371381899179,,,0.8717855341294282,,,0.0
nc-2-n4-1-n8-1-skip1-24,"[4, 4, 8]",1,2,256.0,2,24,,,0.06814994663000107,,,0.8630727793621895,,,0.872916951090528,,,0.0
nc-2-n4-1-n8-1-skip1-26,"[4, 4, 8]",1,2,256.0,2,26,,,0.06798342987895012,,,0.862905966412814,,,0.8725619349134187,,,0.0
nc-2-n4-1-n8-1-skip1-28,"[4, 4, 8]",1,2,256.0,2,28,,,0.06818189099431038,,,0.8618434189128026,,,0.8714652201166535,,,0.0
nc-2-n4-1-n8-1-skip1-30,"[4, 4, 8]",1,2,256.0,2,30,,,0.06795323267579079,,,0.8640434769543697,,,0.873562834901047,,,0.0
nc-2-n4-1-n8-1-skip1,"[4, 4, 8]",1,2,256.0,2,0,0.06834609905878702,0.0653320774435997,,0.8620297057294275,0.8636284775876244,,0.8732604501025706,0.8712004529749962,,0.0,0.0,
nc-2-n4-1-n8-1-skip0-0,"[4, 4, 8]",0,2,256.0,2,0,,,0.1645158752799034,,,0.6431060613662771,,,0.7499665149551324,,,0.0
nc-2-n4-1-n8-1-skip0-2,"[4, 4, 8]",0,2,256.0,2,2,,,0.16454089432954788,,,0.6431426396864512,,,0.7499952593978734,,,0.0
nc-2-n4-1-n8-1-skip0-4,"[4, 4, 8]",0,2,256.0,2,4,,,0.16462361067533493,,,0.643200486111831,,,0.7499305091942106,,,0.0
nc-2-n4-1-n8-1-skip0-6,"[4, 4, 8]",0,2,256.0,2,6,,,0.16446524858474731,,,0.6430649736086456,,,0.7498920829938953,,,0.0
nc-2-n4-1-n8-1-skip0-8,"[4, 4, 8]",0,2,256.0,2,8,,,0.16470277309417725,,,0.6430948625708945,,,0.7499256683154235,,,0.0
nc-2-n4-1-n8-1-skip0-10,"[4, 4, 8]",0,2,256.0,2,10,,,0.16464657336473465,,,0.6430886693805894,,,0.7498130107071923,,,0.0
nc-2-n4-1-n8-1-skip0-12,"[4, 4, 8]",0,2,256.0,2,12,,,0.16454368829727173,,,0.6431742903126988,,,0.7499136663951163,,,0.0
