run_name,exp,run,arc_features,arc_num_conv,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
enc_f8_8_8,SeqEncoder_cd-hit0_full,enc_f8_8_8,"[8, 8, 8]",2,526009,0.028776997661528487,0.12731969143663133,0.08874343122754778,0.685339289618054,0.920140880996076,0.6927895652856019,0.9154687814641186,0.6830134762834221,0.689639213587259,0.0,0.0,0.0
enc_f4_64_64,SeqEncoder_cd-hit0_full,enc_f4_64_64,"[4, 64, 64]",2,4233401,0.16678066893170276,0.20664391347340175,0.1752330426658903,0.4524375228361176,0.5186156664877754,0.5036288743048047,0.5627233043973884,0.5375379345014368,0.5644177878104709,0.0,0.0,0.0
enc_f4_32_64,SeqEncoder_cd-hit0_full,enc_f4_32_64,"[4, 32, 64]",2,4217465,0.1624270143608252,0.19711290512766158,0.16493132284709386,0.4191670343750662,0.48154197418142725,0.48093571796145845,0.5689412738627914,0.5529646864256693,0.5845495625516871,0.0,0.0,0.0
enc_f4_32_32,SeqEncoder_cd-hit0_full,enc_f4_32_32,"[4, 32, 32]",2,2107801,0.12220108276233077,0.17191443060125625,0.14087816221373423,0.5034990484644665,0.6378869193985311,0.5720727119596914,0.6712928537267825,0.6052242738985087,0.6394974936866242,0.0,0.0,0.0
enc_f4_16_64,SeqEncoder_cd-hit0_full,enc_f4_16_64,"[4, 16, 64]",2,4211801,0.14279857759053508,0.18317884845393045,0.15611228559698379,0.48928403872251225,0.5738182277813807,0.5306871174982993,0.6198101809938407,0.5830006003634242,0.6042335125147081,0.0,0.0,0.0
enc_f4_16_32,SeqEncoder_cd-hit0_full,enc_f4_16_32,"[4, 16, 32]",2,2103673,0.1646097870543599,0.19867409765720367,0.16900712038789475,0.4207518690516637,0.472984424942048,0.4623207019653112,0.5588974009006825,0.5456190060092639,0.5691277557864424,0.0,0.0,0.0
enc_f4_16_16,SeqEncoder_cd-hit0_full,enc_f4_16_16,"[4, 16, 16]",2,1051913,0.033206247026100755,0.11752406081983022,0.08512255762304578,0.6945840226730996,0.9035877349815317,0.702367150938974,0.897329801620756,0.6930312362876689,0.6867449224092473,0.0,0.0,0.0
enc_f4_8_64,SeqEncoder_cd-hit0_full,enc_f4_8_64,"[4, 8, 64]",2,4209545,0.027401582337915897,0.12707734001534327,0.08918458542653493,0.6853335729788856,0.924045604841901,0.6958693127968,0.9193849753042498,0.686767836278871,0.6921072395623017,0.0,0.0,0.0
enc_f4_8_32,SeqEncoder_cd-hit0_full,enc_f4_8_32,"[4, 8, 32]",2,2102185,0.17038525082170963,0.1994716546365193,0.16968489757605962,0.4322955792989556,0.467921616104156,0.49016455447637564,0.5496445412084787,0.5500398236908439,0.5733012741304494,0.0,0.0,0.0
enc_f4_8_16,SeqEncoder_cd-hit0_full,enc_f4_8_16,"[4, 8, 16]",2,1050809,0.02860185511720677,0.12340396110500608,0.09163722821644374,0.6905194032565066,0.9185998521734967,0.6801961548751011,0.9137656035390456,0.68839588842484,0.6833712614177757,0.0,0.0,0.0
enc_f4_8_8,SeqEncoder_cd-hit0_full,enc_f4_8_8,"[4, 8, 8]",2,525697,0.03757998568471521,0.11240665082420621,0.08109588601759501,0.7008312703057031,0.8894612660405787,0.6880593022241996,0.8821668006629833,0.6968993764056017,0.6831594305634502,0.0,0.0,0.0
enc_f4_4_64,SeqEncoder_cd-hit0_full,enc_f4_4_64,"[4, 4, 64]",2,4208561,0.023815712231832247,0.13396272489002772,0.09571369205202375,0.6851466265800613,0.934611128571709,0.6574247389330317,0.9306149300266345,0.6789851099108181,0.6730779275047862,0.0,0.0,0.0
