run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_combsf4_16_32_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_128_512,"[4, 16, 32, 128, 512]",1,4,2,4096.0,1425305,0.024766457073080044,0.06957805901765823,0.06503435650042125,0.782976890914858,0.9186550759303795,0.7523723535845568,0.9119361886821316,0.776727350163987,0.7530480749327769,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_128_512,"[4, 16, 32, 128, 512]",0,4,2,4096.0,1372265,0.08592186216264963,0.11007948113339287,0.09157046888555799,0.6521325983900691,0.6946539567480873,0.6341568840930059,0.6062365599650005,0.6076415699587957,0.585652685194866,0.0,0.0,0.0
s2m_skip1_combsf4_16_32_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_128_256,"[4, 16, 32, 128, 256]",1,4,2,2048.0,637337,0.030941709759645164,0.06767323506729943,0.06639800806130682,0.7944433777784058,0.8950516533542011,0.7557023858386446,0.8862354507864376,0.7804044287716144,0.7536241619305152,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_128_256,"[4, 16, 32, 128, 256]",0,4,2,2048.0,584297,0.03404744489428898,0.07793159889323371,0.07540130774889674,0.7574359275016852,0.8835260191979336,0.7340504606372239,0.8736937486361501,0.7390420104514315,0.7121457906607621,0.0,0.0,0.0
s2m_skip1_combsf4_16_32_64_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_64_512,"[4, 16, 32, 64, 512]",1,4,2,4096.0,1068121,0.037963657174259424,0.06946766589369092,0.06690319627523422,0.7724423540554216,0.8685037012938657,0.7556937050666556,0.8567510204863714,0.7721330742970899,0.756657369646165,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_64_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_64_512,"[4, 16, 32, 64, 512]",0,4,2,4096.0,1051945,0.04534494737163186,0.07938022272927421,0.0694071070424148,0.7379149552559323,0.8360237301543689,0.7407873650458059,0.8214390683462808,0.7215992771474935,0.7198615515738606,0.0,0.0,0.0
s2m_skip1_combsf4_16_32_64_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_64_256,"[4, 16, 32, 64, 256]",1,4,2,2048.0,378457,0.032025628218737744,0.06862628140619823,0.064887243189982,0.7873614940666317,0.8918592125978132,0.7735841089406456,0.8824825640683508,0.7773675073409967,0.7565586286179661,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_64_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_64_256,"[4, 16, 32, 64, 256]",0,4,2,2048.0,362281,0.033143749848629035,0.07621072977781296,0.07146929257682391,0.7493574515361032,0.888146246104117,0.7433745690605944,0.8781344571454816,0.7501102506893813,0.7329453835324587,0.0,0.0,0.0
s2m_skip1_combsf4_16_32_64_128,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_64_128,"[4, 16, 32, 64, 128]",1,4,2,1024.0,181081,0.03751251117015878,0.06938749871083669,0.0645549116390092,0.7618941898063272,0.8686998250646559,0.7620539943493171,0.8583561656343264,0.7686894966350225,0.7569257721768591,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_64_128,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_64_128,"[4, 16, 32, 64, 128]",0,4,2,1024.0,164905,0.04527138592675328,0.08131635721240725,0.07431117285575185,0.7540362631535096,0.8432189715868753,0.741369896952275,0.8264759336318442,0.7229633168347698,0.7081676307206232,0.0,0.0,0.0
s2m_skip1_combsf4_8_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_128_256_512,"[4, 8, 128, 256, 512]",1,4,2,4096.0,2768081,0.018478461463625234,0.07727085798978806,0.07110692879983357,0.762340762086195,0.9406501491576456,0.769787482013581,0.9364834341809294,0.7689775551930175,0.7523656200808818,0.0,0.0,0.0
s2m_skip0_combsf4_8_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_128_256_512,"[4, 8, 128, 256, 512]",0,4,2,4096.0,2522081,0.03421163167028377,0.08084452365125928,0.0754161115203585,0.7419334985097376,0.8832410145893413,0.7026949200656176,0.8724867013007681,0.7375645841805054,0.6989987791561585,0.0,0.0,0.0
