run_name,arc_features,arc_skip,arc_num_conv,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-1-n4-2-n8-0-skip1-27,"[4, 4, 4, 4, 8, 8, 8]",0,1,27,,,0.15210454165935516,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-2-n8-0-skip1-28,"[4, 4, 4, 4, 8, 8, 8]",0,1,28,,,0.152203269302845,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-2-n8-0-skip1-29,"[4, 4, 4, 4, 8, 8, 8]",0,1,29,,,0.15237810462713242,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-2-n8-0-skip1-30,"[4, 4, 4, 4, 8, 8, 8]",0,1,30,,,0.1523480210453272,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-2-n8-0-skip1,"[4, 4, 4, 4, 8, 8, 8]",0,1,0,0.15393668537338576,0.145607590675354,,0.6428571428571429,0.642857142857143,,0.75,0.75,,0.0,0.0,
nc-1-n4-1-n8-1-skip1-0,"[4, 4, 4, 4, 8, 8, 8]",0,1,0,,,0.1528689954429865,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-1,"[4, 4, 4, 4, 8, 8, 8]",0,1,1,,,0.1529090516269207,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-2,"[4, 4, 4, 4, 8, 8, 8]",0,1,2,,,0.1528315208852291,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-3,"[4, 4, 4, 4, 8, 8, 8]",0,1,3,,,0.15288914181292057,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-4,"[4, 4, 4, 4, 8, 8, 8]",0,1,4,,,0.15278237126767635,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-5,"[4, 4, 4, 4, 8, 8, 8]",0,1,5,,,0.15287626162171364,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-6,"[4, 4, 4, 4, 8, 8, 8]",0,1,6,,,0.1528814509510994,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-7,"[4, 4, 4, 4, 8, 8, 8]",0,1,7,,,0.15320304408669472,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-8,"[4, 4, 4, 4, 8, 8, 8]",0,1,8,,,0.1530748326331377,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-9,"[4, 4, 4, 4, 8, 8, 8]",0,1,9,,,0.15299239568412304,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-10,"[4, 4, 4, 4, 8, 8, 8]",0,1,10,,,0.15310334600508213,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-11,"[4, 4, 4, 4, 8, 8, 8]",0,1,11,,,0.15317476354539394,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-12,"[4, 4, 4, 4, 8, 8, 8]",0,1,12,,,0.15322905592620373,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-13,"[4, 4, 4, 4, 8, 8, 8]",0,1,13,,,0.1533720325678587,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-14,"[4, 4, 4, 4, 8, 8, 8]",0,1,14,,,0.15311170183122158,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-15,"[4, 4, 4, 4, 8, 8, 8]",0,1,15,,,0.15328683890402317,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-16,"[4, 4, 4, 4, 8, 8, 8]",0,1,16,,,0.1532244998961687,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-17,"[4, 4, 4, 4, 8, 8, 8]",0,1,17,,,0.15331065841019154,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-18,"[4, 4, 4, 4, 8, 8, 8]",0,1,18,,,0.15338480286300182,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-19,"[4, 4, 4, 4, 8, 8, 8]",0,1,19,,,0.15320331789553165,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-20,"[4, 4, 4, 4, 8, 8, 8]",0,1,20,,,0.1534386109560728,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-21,"[4, 4, 4, 4, 8, 8, 8]",0,1,21,,,0.1531892828643322,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-22,"[4, 4, 4, 4, 8, 8, 8]",0,1,22,,,0.1537049449980259,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-23,"[4, 4, 4, 4, 8, 8, 8]",0,1,23,,,0.1533465702086687,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-24,"[4, 4, 4, 4, 8, 8, 8]",0,1,24,,,0.1535185854882002,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-25,"[4, 4, 4, 4, 8, 8, 8]",0,1,25,,,0.15329065546393394,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-26,"[4, 4, 4, 4, 8, 8, 8]",0,1,26,,,0.15338954515755177,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-27,"[4, 4, 4, 4, 8, 8, 8]",0,1,27,,,0.15346563793718815,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-28,"[4, 4, 4, 4, 8, 8, 8]",0,1,28,,,0.15337890572845936,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-29,"[4, 4, 4, 4, 8, 8, 8]",0,1,29,,,0.1535693258047104,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-1-skip1-30,"[4, 4, 4, 4, 8, 8, 8]",0,1,30,,,0.15371616184711456,,,0.6428571428571428,,,0.75,,,0.0
