run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k3_f8_32_32,SimpleCNN_cd-hit0_full,scnn_k3_f8_32_32,"[8, 32, 32]","[3, 3, 3]",4185,0.06845424386362235,0.09047533571720123,0.08291600538151604,0.7206144025955382,0.7486784553153262,0.6828640896463803,0.7254732103558377,0.6793097286152409,0.6723190866585441,0.0,0.0,0.0
scnn_k3_f8_16_64,SimpleCNN_cd-hit0_full,scnn_k3_f8_16_64,"[8, 16, 64]","[3, 3, 3]",3881,0.06986871617846191,0.08982904148953301,0.08260423583643776,0.6885995266316601,0.742117936403211,0.6706945638442975,0.7177266982278305,0.6774921938332773,0.6663692588903682,0.0,0.0,0.0
scnn_k3_f8_16_32,SimpleCNN_cd-hit0_full,scnn_k3_f8_16_32,"[8, 16, 32]","[3, 3, 3]",2217,0.07007235940545797,0.08967493687357221,0.08350433089903422,0.6936100629094426,0.7440602053925304,0.6901473476767135,0.716792775777618,0.6811560115114779,0.6679766292726957,0.0,0.0,0.0
scnn_k3_f8_16_16,SimpleCNN_cd-hit0_full,scnn_k3_f8_16_16,"[8, 16, 16]","[3, 3, 3]",1385,0.07411123726827402,0.09147614666393825,0.08460400679281779,0.6810840895619164,0.7259756193384862,0.6666107819991882,0.6973643745154253,0.667654562696988,0.6561730120018577,0.0,0.0,0.0
scnn_k3_f8_8_64,SimpleCNN_cd-hit0_full,scnn_k3_f8_8_64,"[8, 8, 64]","[3, 3, 3]",2129,0.07169589827147622,0.09057729904140745,0.08338368896927152,0.7035610890168319,0.7349823728145638,0.6807843488821463,0.710106577199277,0.6783531072135537,0.6616815728663451,0.0,0.0,0.0
scnn_k3_f8_8_32,SimpleCNN_cd-hit0_full,scnn_k3_f8_8_32,"[8, 8, 32]","[3, 3, 3]",1233,0.07456947156849007,0.09336965105363301,0.08388917573860713,0.7039381679707848,0.721913096964777,0.6787047995562102,0.6940550666653021,0.6655474978759066,0.6608293868251158,0.0,0.0,0.0
scnn_k3_f8_8_16,SimpleCNN_cd-hit0_full,scnn_k3_f8_8_16,"[8, 8, 16]","[3, 3, 3]",785,0.0741475080139935,0.09192283025809697,0.08402647078037262,0.6923224419180529,0.7235775786718889,0.6583184950515645,0.696807364946499,0.6697083951029705,0.65792514159302,0.0,0.0,0.0
scnn_k3_f8_8_8,SimpleCNN_cd-hit0_full,scnn_k3_f8_8_8,"[8, 8, 8]","[3, 3, 3]",561,0.0755502146979173,0.09183301563773837,0.08355739393404552,0.6797801371406352,0.721912603342799,0.6770768670690923,0.6878621600202082,0.6682837520971515,0.6555045810769057,0.0,0.0,0.0
scnn_k3_f4_64_64,SimpleCNN_cd-hit0_full,scnn_k3_f4_64_64,"[4, 64, 64]","[3, 3, 3]",13565,0.06827395735308528,0.08846469862120492,0.08307772874832153,0.6882225771342699,0.7482593797999414,0.6799195795794625,0.725936975024929,0.6829714982970158,0.6681769431532579,0.0,0.0,0.0
scnn_k3_f4_32_64,SimpleCNN_cd-hit0_full,scnn_k3_f4_32_64,"[4, 32, 64]","[3, 3, 3]",6941,0.06777913860666256,0.08897018219743456,0.0824062590088163,0.6988631952994805,0.7533870625535292,0.687238090191438,0.7282777391428943,0.6810936965033791,0.6681927501840633,0.0,0.0,0.0
