name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
RNaseP_SM-A1012,0.5,0.04807692307692308,0.08771929824561403,0.08771929824561403,rnadist_200,RNaseP
RNaseP_C.innocuum,0.06666666666666667,0.01282051282051282,0.021505376344086023,0.021505376344086023,rnadist_200,RNaseP
RNaseP_B.bronchiseptica,0.3333333333333333,0.046875,0.08219178082191782,0.08219178082191782,rnadist_200,RNaseP
RNaseP_S.globosus,0.7619047619047619,0.1927710843373494,0.3076923076923077,0.3076923076923077,rnadist_200,RNaseP
RNaseP_ESH167F,0.2,0.02666666666666667,0.047058823529411764,0.047058823529411764,rnadist_200,RNaseP
RNaseP_S.carlsbergensis,0.45454545454545453,0.05434782608695652,0.09708737864077671,0.09708737864077671,rnadist_200,RNaseP
RNaseP_S.versatilis,0.30303030303030304,0.16393442622950818,0.21276595744680848,0.21276595744680848,rnadist_200,RNaseP
RNaseP_M.hyopneumoniae,0.8064516129032258,0.1937984496124031,0.33749999999999997,0.3125,rnadist_200,RNaseP
RNaseP_L.muta-2,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_vHge3-5,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_C.pneumoniae-AR39,0.6428571428571429,0.07142857142857142,0.1285714285714286,0.1285714285714286,rnadist_200,RNaseP
RNaseP_P126,0.25,0.047619047619047616,0.08,0.08,rnadist_200,RNaseP
RNaseP_S.liquefaciens,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_P.hollandica,0.7142857142857143,0.03125,0.059880239520958084,0.059880239520958084,rnadist_200,RNaseP
RNaseP_PS1,0.0,0.0,0.02083333333333334,0.0,rnadist_200,RNaseP
RNaseP_CPA54,0.0,0.0,0.0,0.0,rnadist_200,RNaseP
RNaseP_SM-A2237,0.42857142857142855,0.033707865168539325,0.06249999999999999,0.06249999999999999,rnadist_200,RNaseP
RNaseP_Synechococcus-MINOS1,0.3333333333333333,0.0379746835443038,0.06818181818181819,0.06818181818181819,rnadist_200,RNaseP
RNaseP_P.canadensis,0.2727272727272727,0.08450704225352113,0.12903225806451613,0.12903225806451613,rnadist_200,RNaseP
